品牌,型号,颜色,系统,价格,月成交纪录,累计评价,手机类型,电池类型,核心数,电池容量,机身款式,键盘类型,厚度,后置摄像头,摄像头类型,视频显示格式,机身内存,运行内存,尺寸,触屏类型,分辨率,收藏人气,字段25
 Changhong/长虹, G01, 檀金色, Android/安卓,2899.00,45,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 商务手机, 不可拆卸式电池, 八核, 1.7G,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 32GB, 2GB, 5.5英寸, 电容式, 1920x1080,（452人气）,
 Samsung/三星, SM-G6000, 流沙金, Android/安卓,1398.00,53,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 4G手机 商务手机 女性手机 老人手机, 可拆卸式电池, 四核,, 虚拟触屏键盘, 9mm以下,, 双摄像头（前后）, 720P(逐行高清D4),, 8GB, 1.5g, 5.5英寸, 电容式, 1280x720,（31人气）,
 OPPO, X9070, 星际黑 白色, Android/安卓,3698.00,29,, 拍照手机 音乐手机 智能手机 3G手机 4G手机, 可拆卸式电池, 四核心, 2.5GHz,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 32GB, 3GB, 5.5英寸, 电容式, 2560×1440,（317人气）,
 Huawei/华为, GX1, 白色 黑色, Android/安卓,1599.00,216,, 智能手机 4G手机, 不可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 800万, 双摄像头（前后）, 8GB, 1GB, 6.0英寸, 电容式, 1280x720,（1638人气）,
 UniscopE/优思, U&nbsp;W2014, 香槟金, Android/安卓,2080.00,50,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 商务手机, 可拆卸式电池, 四核心, 1.2GHz,, 翻盖, 12键标准键盘,, 800万, 双摄像头（前后）, 4GB, 1GB, 3.7英寸, 电容式, 800x480,（914人气）,
 HTC, D816t, 轻盈白 自由灰, Android/安卓,1078.00,39,, 智能手机 3G手机 4G手机, 不可拆卸式电池, 四核心, 1.6GHz,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 8GB, 1.5GB, 5.5英寸, 电容式, 1280x720,（441人气）,
 Philips/飞利浦, W8578, 黑色, 无操作系统,1699.00,67,, 3G手机 老人手机, 可拆卸式电池, 无, 2000mAh, 翻盖, 12键标准键盘, 1CM以上, 500万, 单摄像头, 480P(逐行标清D2), 512MB, 256MB, 3.5英寸, 电容式, 800x480,（342人气）,
 OnePlus/一加, ONE&nbsp;A1001, 白色, Android/安卓,2299.99,24,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 4G手机, 不可拆卸式电池, 四核, 3100mAh, 直板, 虚拟触屏键盘, 9mm以下, 1300万, 双摄像头（前后）, 1080P(全高清D5), 16GB 64GB, 3GB, 5.5英寸, 电容式, 1920x1080,（698人气）,
 OPPO, R7007, 黑色 银色, Android/安卓,2499.00,26,, 拍照手机 音乐手机 智能手机 3G手机 4G手机, 不可拆卸式电池, 四核心, 1.6GHz,, 直板, 虚拟触屏键盘,, 800万, 双摄像头（前后）, 8GB, 1GB, 5.0英寸, 电容式, 1280x720,（687人气）,
 BlackBerry/黑莓, 黑色, 黑莓, 时尚手机 3G手机 商务手机,5000.00,23,, 不可拆卸式电池, 双四核, 2515mAh,, QWERTY全键盘, 9mm(含)-10mm(含),, 双摄像头（前后）, 3GP/MPEG-4等格式,, 16GB, 2GB, 3.5英寸, 电容式, 720*720,（688人气）,
 vivo, y937, 香槟金 极光白, Android/安卓,1998.00,21,, 4G手机, 不可拆卸式电池, 八核, 1.4GHz,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 16GB, 2GB, 5.5英寸, 电容式, 1280x720,（42人气）,
 乐视TV, 金 银, Android/安卓, 拍照手机 音乐手机 时尚手机 智能手机 电视手机 4G手机 商务手机,3199.00,50,, 不可拆卸式电池, 八核, 2.0G, 3000mAh, 直板, 虚拟触屏键盘, 9mm(含)-10mm(含), 1300万, 双摄像头（前后）, 2560*1440, 32GB 64GB, 4GB, 5.5英寸, 电容式, 2560×1440像素,（181人气）,
 Lenovo/联想, P70-T, 清新白 摩卡棕, Android/安卓,758.00,38,, 拍照手机 智能手机 3G手机 4G手机 商务手机, 不可拆卸式电池, 四核心, 1.5GHz,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 16GB, 2GB, 5.0英寸, 电容式, 1280x720,（87人气）,
 中国移动, M823, 旭日金 皓月银 星空灰, Android/安卓,1299.00,34,, 4G手机, 不可拆卸式电池, 八核, 1.5G&nbsp;HZ,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 16GB, 2GB, 5.5英寸, 电容式, 1920x1080,（390人气）,
 Sugar, SS122, 熏衣紫 玫瑰金 经典白, Android/安卓,2799.00,34,, 拍照手机 音乐手机 时尚手机 商务手机 女性手机, 不可拆卸式电池, 八核, 1.5G&nbsp;HZ,, 直板, 虚拟触屏键盘,, 800万, 双摄像头(前后), 16GB, 2GB, 5.0英寸, 电容式, 1280x720,（13479人气）,
 OPPO, R6007, 白色 蓝色, Android/安卓,1799.00,10,, 拍照手机 音乐手机 智能手机 3G手机 4G手机, 不可拆卸式电池, 四核心, 1.6GHz,, 直板, 虚拟触屏键盘,, 800万, 双摄像头（前后）, 8GB, 1GB, 4.7英寸, 电容式, 1280x720,（350人气）,
 Philips/飞利浦, i928, 黑色 雪山白, Android/安卓,1799.00,30,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 电视手机 商务手机, 可拆卸式电池, 八核, 1.7G,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 16GB, 2GB, 6.0英寸, 电容式, 1920x1080,（4524人气）,
 Meizu/魅族, 银白 银黑, FLyme, 音乐手机 时尚手机 智能手机,3100.00,7,, 不可拆卸式电池, 智能真8核, 3050mAh,, 虚拟触屏键盘, 7.5mm,, 双摄像头（前后）, 1080P(全高清D5),, 64GB, 4GB, 5.5英寸, 电容式, 1920x1080,（262人气）,
 Coolpad/酷派, Y90, 尊荣金, Android/安卓,1899.00,14,, 4G手机, 不可拆卸式电池, 八核, 1.5G&nbsp;HZ,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 8GB, 2GB, 5.5英寸, 电容式, 1280x720,（163人气）,
 OPPO, A11, 灰色 白色, Android/安卓,900.00,150,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 4G手机 商务手机 女性手机, 可拆卸式电池, 四核, 2000mAh, 直板, 虚拟触屏键盘, 9mm以下, 500万, 双摄像头（前后）, 1080P(全高清D5), 8GB, 1GB, 4.5英寸, 电容式, 854x480,（1165人气）,
 Asus/华硕, 银灰色, Android/安卓, 拍照手机 三防手机 音乐手机 时尚手机 智能手机 3G手机 4G手机 商务手机 女性手机,1699.00,129,, 不可拆卸式电池, 四核, 3000mAh,, 虚拟触屏键盘, 9mm(含)-10mm(含),, 双摄像头（前后）, 1080I(隔行高清D3),, 32GB, 4GB, 5.0-5.5英寸, 电阻式触摸屏, 1920x1080,（1674人气）,
 Coolpad/酷派, 8675-HD, 智尚白, Android/安卓,799.00,343,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 4G手机 商务手机, 可拆卸式电池, 八核, 1.7G,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 16GB, 2GB, 5.5英寸, 电容式, 1280x720,（950人气）,
 koobee/酷比, X903S, 靓丽银, Android/安卓,1799.00,41,, 拍照手机 音乐手机 4G手机 商务手机, 不可拆卸式电池, 八核, 1.7G,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 16GB, 2GB, 5.5英寸, 电容式, 1920x1080,（597人气）,
 Sugar, SS136, 白色(16G) 金色(16G), Android/安卓,3999.00,26,, 宝石手机 拍照手机 音乐手机 时尚手机 智能手机 电视手机 4G手机 商务手机 女性手机, 不可拆卸式电池, 八核, 1.7G,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 16GB, 2GB, 5.2英寸, 电容式, 1920x1080,（20317人气）,
 ZTE/中兴, G720C, 新锐黑 智尚白, Android/安卓,2019.00,71,, 拍照手机 智能手机 3G手机 4G手机 商务手机, 不可拆卸式电池, 八核--1.5GHZ, 2300mAh, 直板, 虚拟触屏键盘, 1CM以上, 1300万, 双摄像头（前后）, 1080P(全高清D5), 16GB, 2GB, 5.0英寸, 电容式, 1920×1080像素,（359人气）,
 Hisense/海信, g610m, 劲锐黑, Android/安卓,2199.00,25,, 三防手机 时尚手机 智能手机 3G手机 4G手机 商务手机, 不可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 800万, 双摄像头（前后）, 16GB, 2GB, 5.0英寸, 电容式, 1280x720,（2048人气）,
 Philips/飞利浦, i908, 夜空黑 摩卡棕, Android/安卓,1699.00,17,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 电视手机 商务手机 女性手机, 不可拆卸式电池, 八核, 1.7G,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 16GB, 2GB, 5.0英寸, 电容式, 1920x1080,（86人气）,
 Haier/海尔, HL-G100, 香槟金, Android/安卓,2900.00,39,, 音乐手机 时尚手机 智能手机 4G手机 商务手机, 不可拆卸式电池, 八核, 1.5G&nbsp;HZ,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 16GB, 2GB, 6.0英寸, 电容式, 1280x720,（243人气）,
 Changhong/长虹, N9, 灰色 白色, Android/安卓,1618.00,161,, 智能手机 4G手机 商务手机, 可拆卸式电池, 四核心, 1.3GHz,, 直板, 虚拟触屏键盘,, 800万, 双摄像头（前后）, 8GB, 1GB, 5.0英寸, 电容式, 960x540,（1043人气）,
 Coolpad/酷派, Y80D, 甜梦粉 锐志金 智尚白, Android/安卓,859.00,172,, 时尚手机 智能手机 3G手机 4G手机 商务手机, 不可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 800万, 双摄像头（前后）, 8GB, 1GB, 5.5英寸, 电容式, 960x540像素,（1517人气）,
 ZTE/中兴, G720T, 新锐黑 智尚白, Android/安卓,2000.00,111,, 智能手机 4G手机, 不可拆卸式电池, 八核--1.5GHZ, 2300mAh, 直板, 虚拟触屏键盘, 1CM以上, 1300万, 双摄像头（前后）, 1080P(全高清D5), 16GB, 2GB, 5.0英寸, 电容式, 1920×1080像素,（603人气）,
 Philips/飞利浦, W8568, 墨晶黑, Android/安卓,3388.00,178,, 拍照手机 智能手机 3G手机 商务手机, 可拆卸式电池, 四核心, 1.2GHz,, 翻盖, 虚拟触屏键盘,, 800万, 单摄像头, 4GB, 1GB, 4.0英寸, 电容式, 540x960,（2214人气）,
 OPPO, X9000, 黑色 白色, Android/安卓,2998.00,24,, 拍照手机 音乐手机 智能手机 4G手机, 可拆卸式电池, 四核心, 2.3GHz,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 16GB, 2GB, 5.5英寸, 电容式, 1920x1080,（298人气）,
 MUCH/摩奇, 78P01, 黑色 白色, Android/安卓,1499.00,160,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 儿童手机 商务手机 女性手机 老人手机, 可拆卸式电池, 八核, 1.7G,, 直板, QWERTY全键盘,, 800万, 双摄像头（前后）, 16GB, 2GB, 5.0英寸, 电容式, 1280x720,（44523人气）,
 Xiaomi/小米, 红米手机NOTE2, 灰色 白色, MIUI,836.00,34,, 拍照手机 音乐手机 时尚手机 智能手机 4G手机 女性手机, 可拆卸式电池, 八核--2.0GHz, 3060mAh, 直板, 虚拟触屏键盘, 9mm以下, 1300万, 双摄像头（前后）, 1080P(全高清D5), 16GB, 2GB, 5.5, 电容式, 1920x1080,（30人气）,
 Samsung/三星, SM-G5108Q, 白色 炭灰, Android/安卓,2055.00,42,, 智能手机 3G手机 4G手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 800万, 双摄像头（前后）, 8GB, 1GB, 4.8英寸, 电容式, 960x540像素,（335人气）,
 JXD/金星, T9007, 白金 金色, Android/安卓,1799.00,164,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 4G手机 商务手机, 不可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 800万, 双摄像头（前后）, 8GB, 1GB, 5.0英寸, 电容式, 720x1280像素,（742人气）,
 Meizu/魅族, 魅蓝, 浅蓝色 白色 粉红色 黄色 蓝色 绿色, 阿里巴巴YunOS,712.00,112,, 智能手机 3G手机 4G手机, 不可拆卸式电池, 四核心, 1.5GHz,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 8GB, 1GB, 5.0英寸, 电容式, 1280x768,（523人气）,
 中国移动, M821, 薄荷蓝 樱花粉 香槟金 雪山白 星空灰, Android/安卓,898.00,59,, 智能手机 4G手机, 不可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 16GB, 2GB, 5.0英寸, 电容式, 1280x720,（575人气）,
 ZTE/中兴, N958ST, 前黑后白, Android/安卓,950.00,162,, 拍照手机 4G手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 16GB, 2GB, 5.5英寸, 电容式, 1280x720,（782人气）,
 Philips/飞利浦, 玫瑰金, Android/安卓, 拍照手机 音乐手机 智能手机 3G手机 4G手机 商务手机,1299.00,55,, 可拆卸式电池, 四核心, 1GHz, 2300mAh, 直板, 虚拟触屏键盘, 9mm(含)-10mm(含), 800万, 双摄像头（前后）, 720P(逐行高清D4), 8GB, 1GB, 5.0英寸, 电容式, 1280x720,（330人气）,
 Lenovo/联想, A3860, 清新白 深邃黑, Android/安卓,598.00,47,, 时尚手机 智能手机 4G手机, 可拆卸式电池, 四核心, 1GHz,, 直板, 虚拟触屏键盘,, 800万, 双摄像头（前后）, 16GB, 2GB, 5.0英寸, 电容式, 1280x720,（244人气）,
 Microsoft/微软, LUMIA&nbsp;535DS, 橙色 白色 黑色 蓝色 绿色, Windows&nbsp;Phone,599.00,62,, 拍照手机 三防手机 音乐手机 时尚手机 智能手机 3G手机 电视手机 儿童手机 商务手机 女性手机 老人手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 500万, 双摄像头（前后）, 8GB, 1GB, 5.0英寸, 电容式, 960x540,（3861人气）,
 OPPO, 1107, 白色 灰色, Android/安卓,849.00,66,, 拍照手机 音乐手机 智能手机 4G手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 500万, 双摄像头（前后）, 4GB, 1GB, 4.5英寸, 电容式, 854x480,（581人气）,
 Nokia/诺基亚, XL&nbsp;4G, 黑色, 诺基亚&nbsp;X&nbsp;软件平台,899.00,86,, 智能手机 4G手机 商务手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 500万, 双摄像头（前后）, 4GB, 1GB, 5.0英寸, 电容式, 800x480,（1790人气）,
 ZTE/中兴, N9180, 前黑后白, Android/安卓,749.00,83,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 4GB 8GB, 2GB, 5.0英寸, 电容式, 1280x720,（899人气）,
 DOOV/朵唯, S3, 星光白, Android/安卓,1299.00,96,, 拍照手机 音乐手机 时尚手机 智能手机 4G手机 女性手机, 不可拆卸式电池, 四核心, 1.3GHz,, 直板, 虚拟触屏键盘,, 800万, 双摄像头（前后）, 8GB, 1GB, 5.3英寸, 电容式, 1280x720,（4170人气）,
 koobee/酷比, H6, 月光银 麦穗金, Android/安卓,1799.00,60,, 拍照手机 音乐手机 时尚手机 智能手机 4G手机, 不可拆卸式电池, 四核, 3130mAh, 直板, 虚拟触屏键盘, 9mm以下, 1300万, 双摄像头（前后）, 1080P(全高清D5), 16GB, 1.5GB, 5.5英寸, 电容式, 1280x720,（206人气）,
 Xiaomi/小米, 红米手机1S, 金属灰 纯白色, MIUI,610.00,207,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机, 可拆卸式电池, 四核心, 1.6GHz,, 直板, 虚拟触屏键盘,, 800万, 双摄像头（前后）, 8GB, 1GB, 4.7英寸, 电容式, 1280x720,（928人气）,
 Philips/飞利浦, W6618, 深蓝色, Android/安卓,1998.00,18,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 电视手机 商务手机 女性手机 老人手机, 不可拆卸式电池, 四核心, 1.3GHz,, 直板, QWERTY全键盘,, 800万, 双摄像头（前后）, 4GB, 1GB, 5.0英寸, 电容式, 540x960,（1956人气）,
 JXD/金星, GES&nbsp;003, 银色 金色, Android/安卓,1599.00,35,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 电视手机 4G手机 商务手机 女性手机, 不可拆卸式电池, 四核, 2800mAh, 直板, 虚拟触屏键盘, 9mm以下, 1300万, 双摄像头（前后）, 1080I(隔行高清D3), 16GB, 2GB, 5.5英寸, 电容式, 1280x720,（854人气）,
 ZTE/中兴, Q519T, 金色 白色, Android/安卓,709.00,37,, 4G手机, 不可拆卸式电池, 四核, 4000mAh, 直板, 虚拟触屏键盘, 8.9mm, 500万, 双摄像头（前后）, 720P（逐行标清）, 8GB, 1GB, 5.0英寸, 电容式, 1280x720,（4105人气）,
 Xiaomi/小米, 红米Note增强版, 陶瓷白, MIUI,790.00,77,, 拍照手机 智能手机 3G手机, 可拆卸式电池, 8核1.7GHz, 3100mAh, 直板, 虚拟触屏键盘, 9mm(含)-10mm(含), 1300万, 双摄像头（前后）, 1080P(全高清D5), 8GB, 2GB, 5.5英寸, 电容式, 1280x720,（347人气）,
 ZTE/中兴, 银色, Android/安卓, 智能手机 3G手机 4G手机,758.00,35,, 不可拆卸式电池, 八核, 1.5G&nbsp;HZ, 3000mAh, 直板, 虚拟触屏键盘, 9mm以下, 800万, 双摄像头（前后）, 720P(逐行高清D4), 16GB, 2GB, 5.5英寸, 电容式, 1280x720,（124人气）,
 TCL, M2M, 香槟金 雪山白, Android/安卓,799.00,85,, 拍照手机 时尚手机 智能手机 4G手机, 不可拆卸式电池, 八核, 1.7G,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 16GB, 2GB, 5.5英寸, 电容式, 1920x1080,（2873人气）,
 ZTE/中兴, 白色, Android/安卓, 时尚手机 智能手机,1399.00,324,, 不可拆卸式电池, 四核心, 1.2GHz, 2300mAh, 直板, 虚拟触屏键盘, 9mm(含)-10mm(含), 800万, 双摄像头（前后）, 720P(逐行高清D4), 8GB, 1GB, 5.5英寸, 电容式, 1280x720,（3261人气）,
 Coolpad/酷派, 8297W, 智铂银, Android/安卓,800.00,67,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 商务手机, 可拆卸式电池, 八核, 1.7G,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 8GB, 2GB, 5.0英寸, 电容式, 1280x720,（129人气）,
 ZTE/中兴, M901C, 月白 墨黑, Android/安卓,1079.00,94,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 商务手机, 不可拆卸式电池, 八核, 1.7G,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 16GB, 2GB, 6.0英寸, 电容式, 1280x720,（1540人气）,
 Samsung/三星, SM-G5309W, 白色 灰色, Android/安卓,1999.00,12,, 拍照手机 时尚手机 智能手机 4G手机 商务手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 800万, 双摄像头（前后）, 8GB, 1GB, 5.0英寸, 电容式, 960x540像素,（48人气）,
 Lenovo/联想, A806, 深邃黑 珍珠白, Android/安卓,777.00,112,, 智能手机 3G手机, 可拆卸式电池, 八核, 1.7G,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 2GB 16GB, 2GB, 5.0英寸, 电容式, 1280x720,（160人气）,
 HTC, D816V, 甜心粉, Android/安卓,958.00,18,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 4G手机 商务手机 女性手机, 不可拆卸式电池, 四核心, 1.6GHz,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 8GB, 1.5GB, 5.5英寸, 电容式, 1280x720,（337人气）,
 K-Touch/天语, M1, 白色 蓝色, Android/安卓,1298.00,123,, 智能手机 3G手机, 可拆卸式电池, 八核, 1.7G,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 16GB, 2GB, 7.0英寸, 电容式, 1920×1200,（904人气）,
 ZTE/中兴, S6&nbsp;Lux(Q7), 银色, Android/安卓,838.00,45,, 时尚手机 4G手机, 不可拆卸式电池, 八核1.5G, 3000mAh, 直板, 虚拟触屏键盘, 7.9mm, 1300万, 双摄像头(前后), 720P(逐行高清D4), 16GB, 2GB, 5.5英寸, 电容式, 1280x720,（149人气）,
 JXD/金星, T9005, 金色 银白色, Android/安卓,1799.00,44,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 电视手机 4G手机 商务手机, 不可拆卸式电池, 四核, 2000mAh, 直板, 虚拟触屏键盘, 9mm以下, 800-1300万, 双摄像头（前后）, 720P(逐行高清D4), 8GB, 1GB, 5.5, 电容式, 1280x720,（70人气）,
 Philips/飞利浦, V387, 白色 黑色, Android/安卓,1008.00,11,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 商务手机, 可拆卸式电池, 四核心, 1.3GHz,, 直板, 虚拟触屏键盘,, 800万, 双摄像头（前后）, 8GB, 1GB, 5.0英寸, 电容式, 1280x720,（267人气）,
 HTC, D820MT, 镶蓝时尚白 镶蓝时尚灰, Android/安卓,749.00,25,, 拍照手机 音乐手机 时尚手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 800万, 双摄像头（前后）, 8GB, 1GB, 5.0英寸, 电容式, 1280x720,（200人气）,
 OPPO, 1105, 白色 灰色, Android/安卓,800.00,22,, 拍照手机 音乐手机 4G手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 500万, 双摄像头（前后）, 4GB, 1GB, 4.5英寸, 电容式, 854x480,（562人气）,
 Lenovo/联想, k30-W, 典雅黄 清新白, Android/安卓,618.00,33,, 时尚手机 智能手机 3G手机 4G手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 800万, 双摄像头(前后), 16GB, 1GB, 5.0英寸, 电容式, 1280x720,（96人气）,
 Huawei/华为, 荣耀3C畅玩版, 前黑后白 黑色, Android/安卓,650.00,39,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 商务手机 女性手机 老人手机, 可拆卸式电池, 四核&nbsp;1.3GHz, 2000mAh, 直板, 虚拟触屏键盘, 9mm(含)-10mm(含), 800万, 双摄像头(前后), 1080P(全高清D5), 4GB, 1GB, 5.0英寸, 电容式, 1280x720,（98人气）,
 Lenovo/联想, S968t, 铂雅银 清新白, Android/安卓,800.00,23,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 商务手机 女性手机, 不可拆卸式电池, 四核心, 1.5GHz,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 16GB, 2GB, 5.0英寸, 电容式, 1920x1080,（29人气）,
 DOOV/朵唯, T21, 樱花粉 栀子白, Android/安卓,1199.00,27,, 拍照手机 智能手机 4G手机 女性手机, 可拆卸式电池, 四核, 2040mAh, 直板, 虚拟触屏键盘, 9mm以下, 500万, 双摄像头（前后）, 720P(逐行高清D4), 8GB, 1GB, 4.7英寸, 电容式, 720x1280像素,（384人气）,
 Huawei/华为, G621-TL00M, 黑色 白色, Android/安卓,898.00,59,, 4G手机 商务手机, 不可拆卸式电池, 四核心, 1.2GHz,, 直板, QWERTY全键盘,, 800万, 双摄像头（前后）, 8GB, 1GB, 5.0英寸, 电容式, 1280x720,（510人气）,
 TCL, M2U(标准版), 香槟金, Android/安卓,799.00,23,, 拍照手机 时尚手机 智能手机 4G手机, 不可拆卸式电池, 八核, 1.5G&nbsp;HZ,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 8GB, 1GB, 5.5英寸, 电容式, 1280x720,（319人气）,
 Philips/飞利浦, S399, 迪拜金, Android/安卓,899.00,12,, 拍照手机 音乐手机 时尚手机 智能手机 电视手机 4G手机 商务手机 女性手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 800万, 双摄像头（前后）, 4GB, 1GB, 5.0英寸, 电容式, 1280x720,（723人气）,
 Huawei/华为, G6, 黑色, Android/安卓,758.00,13,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 商务手机 女性手机, 不可拆卸式电池, 四核&nbsp;1.2GHz, 2000mAh, 直板, 虚拟触屏键盘, 9mm以下, 800万, 双摄像头(前后), 720P(逐行高清D4), 4GB, 1GB, 4.5英寸, 电容式, 960x540,（83人气）,
 BIRD/波导, L9, 金色, Android/安卓,1888.00,124,, 拍照手机 4G手机, 可拆卸式电池, 四核心, 1.5GHz,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 16GB, 1GB, 4.7英寸, 电容式, 1280x720,（1412人气）,
 TCL, m2u, 雪山白 香槟金, Android/安卓,899.00,101,, 拍照手机 时尚手机 智能手机 4G手机, 不可拆卸式电池, 八核&nbsp;1.5GHz, 3500mAh, 直板, 虚拟触屏键盘, 9mm以下, 1300万, 双摄像头（前后）, 720P(逐行高清D4), 16GB, 2GB, 5.5英寸, 电容式, 1280x720,（53人气）,
 BIRD/波导, L5, 灰色 土豪金, 阿里巴巴YunOS,2000.00,108,, 拍照手机 女性手机, 不可拆卸式电池, 四核心, 1GHz,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 16GB, 1GB, 5.0英寸, 电容式, 1280x720,（241人气）,
 BlackBerry/黑莓, 黑色, 黑莓, 智能手机 3G手机 商务手机,9800.00,7,, 不可拆卸式电池, 双核, 3450mAh,, QWERTY全键盘, 9mm(含)-10mm(含),, 双摄像头（前后）, 1080P(全高清D5),, 32GB, 3GB, 128x90.3x9.3mm, 电容式, 1440*1440,（366人气）,
 Asus/华硕, Zenfone2&nbsp;ZE551ML, 红色 金色 银灰色, Android/安卓,1999.00,87,, 时尚手机 智能手机 商务手机 女性手机 老人手机, 不可拆卸式电池, 四核, 3000mAh, 直板, 虚拟触屏键盘, 9mm(含)-10mm(含), 1300万, 双摄像头(前后), 1080I(隔行高清D3), 32GB, 4GB 2GB, 5.5英寸, 电容式, 1920x1080,（2879人气）,
 小辣椒, 炫彩白, Android/安卓, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 4G手机 商务手机 女性手机,1999.00,57,, 不可拆卸式电池, 八核, 1.3GHz, 2800mAh, 直板, 虚拟触屏键盘, 9mm以下, 1300万, 双摄像头（前后）, 1080I(隔行高清D3), 32GB, 3GB, 5.5英寸, 电容式, 1920x1080,（256人气）,
 小辣椒, 1S电信版, 辛辣黑 麻辣白 热辣粉, Android/安卓,1999.00,27,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 电视手机 儿童手机 商务手机 女性手机 老人手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 800万, 双摄像头（前后）, 4GB, 1GB, 5.5英寸, 电容式, 1280x720,（10807人气）,
 Xiaomi/小米, 红米手机2a, 淡粉 浅绿 明黄 深灰 白色, MIUI,538.00,685,, 拍照手机 音乐手机 时尚手机 智能手机 4G手机, 可拆卸式电池, 四核, 2200mAh, 直板, 虚拟触屏键盘, 9.4mm, 800万, 双摄像头（前后）, 720P(逐行高清D4), 8GB, 1GB, 4.7英寸, 电容式, 1280x720,（6933人气）,
